"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"1927","NYY","1725","6222","158","976","908","90","10.3%","9.8%",".181",".324",".307",".384",".488",".400","","126","-14.2","203.7","76.2","49.3"
"1976","CIN","2135","6538","141","857","802","210","10.4%","13.8%",".144",".309",".280",".357",".424",".357","","120","19.0","166.6","39.2","45.8"
"1931","NYY","1751","6473","155","1067","990","139","11.6%","8.6%",".160",".309",".297",".383",".457",".387","","124","-3.4","206.4","18.8","45.0"
"1939","NYY","1550","6129","166","967","904","72","11.4%","8.9%",".164",".295",".287",".374",".451",".380","","113","-4.6","104.6","129.7","44.7"
"1969","BAL","1981","6328","175","779","722","82","10.0%","12.7%",".148",".281",".265",".343",".414",".341","","112","1.7","86.9","150.9","44.6"
"2001","SEA","2043","6474","169","927","881","174","9.5%","15.3%",".157",".320",".288",".360",".445",".347","","116","16.2","143.0","84.6","44.4"
"1975","CIN","2148","6419","124","840","779","168","10.8%","14.3%",".130",".303",".271",".353",".401",".345","","111","20.8","103.6","99.2","43.2"
"1884","STL","1023","4466","32","887","","","4.1%","",".102","",".292",".321",".394",".326","","132","0.0","199.9","49.1","43.0"
"1948","CLE","1893","6201","155","840","801","54","10.4%","9.3%",".150",".292",".282",".360",".431",".369","","114","-10.4","97.6","112.8","42.0"
"1973","BAL","1707","6335","119","754","692","146","10.2%","11.9%",".123",".287",".266",".345",".389",".334","","111","7.3","85.1","98.2","41.2"
"1953","BRO","1893","6138","208","955","887","90","10.7%","11.2%",".189",".295",".285",".366",".474",".379","","115","3.9","127.0","80.8","40.4"
"1936","NYY","1650","6391","182","1065","997","77","11.0%","9.3%",".184",".310",".300",".381",".483",".394","","113","-6.2","124.6","68.7","40.4"
"1905","NYG","1530","5839","39","778","642","291","8.9%","",".095","",".273",".351",".368",".350","","113","15.3","102.0","63.7","40.3"
"2019","HOU","2309","6394","288","920","891","67","10.1%","18.2%",".221",".296",".274",".352",".495",".355","","124","-9.5","187.8","-2.5","39.9"
"1898","BAL","1439","6000","12","933","757","250","8.7%","",".066","",".302",".382",".368",".371","","116","7.4","137.8","56.0","39.5"
"1942","NYY","1596","6009","108","801","744","69","9.8%","9.3%",".125",".285",".269",".346",".394",".353","","109","-1.7","62.4","104.3","39.4"
"1971","BAL","1829","6143","158","742","702","66","10.9%","13.7%",".138",".282",".261",".347",".398",".339","","112","0.5","80.3","92.8","39.3"
"1906","CLE","1531","5987","12","664","548","203","5.5%","",".078","",".279",".325",".357",".333","","113","-0.5","77.6","78.8","39.2"
"1902","PIT","1311","5480","18","774","660","222","6.8%","",".088","",".286",".344",".374",".346","","120","7.3","127.8","62.6","38.8"
"1974","CIN","2163","6373","135","776","714","146","10.9%","14.7%",".135",".289",".260",".343",".394",".336","","108","11.8","71.6","90.2","38.6"
"1930","NYY","1796","6272","152","1062","986","91","10.3%","9.1%",".179",".324",".309",".384",".488",".388","","124","-11.9","204.3","-1.1","38.6"
"1932","NYY","1712","6344","160","1002","954","77","12.1%","8.3%",".169",".293",".286",".376",".454",".377","","119","-14.9","150.7","20.0","38.5"
"1977","PHI","2166","6293","186","847","795","135","9.1%","12.8%",".169",".294",".279",".346",".448",".347","","110","4.1","77.0","95.8","38.4"
"1976","NYY","1705","6156","120","730","681","163","7.6%","10.0%",".119",".283",".269",".328",".389",".330","","112","6.9","87.2","80.0","38.2"
"1962","SFG","2010","6277","204","878","807","73","8.3%","13.1%",".163",".292",".278",".341",".441",".346","","111","-4.9","85.0","70.9","37.8"
"1955","NYY","1958","5942","175","761","717","55","10.2%","11.0%",".158",".266",".260",".340",".418",".340","","107","5.9","59.4","103.2","37.7"
"1952","NYY","1781","5989","129","727","670","52","9.4%","10.9%",".136",".284",".267",".341",".403",".347","","111","-0.1","74.5","94.1","37.7"
"1998","ATL","1971","6217","215","826","794","98","8.8%","17.1%",".181",".300",".272",".342",".453",".346","","108","0.8","61.7","124.6","37.6"
"1974","LAD","2024","6332","139","798","744","149","9.4%","13.0%",".129",".294",".272",".342",".401",".337","","111","2.5","82.4","68.3","37.4"
"1971","PIT","1996","6283","154","788","744","65","7.5%","14.6%",".142",".301",".274",".330",".416",".335","","112","2.8","86.1","47.9","37.3"
"1913","PHA","1667","5816","33","794","660","221","9.2%","9.4%",".096",".309",".280",".356",".375",".354","","117","-0.8","111.0","51.1","37.3"
"1961","NYY","1948","6239","240","827","782","28","8.7%","12.6%",".179",".267",".263",".330",".442",".339","","108","0.3","64.0","111.3","37.3"
"1906","CHC","1482","5742","20","704","539","283","7.8%","",".076","",".262",".328",".339",".328","","106","16.1","55.6","95.3","37.2"
"2016","CHC","2332","6335","199","808","767","66","10.4%","21.1%",".173",".302",".256",".343",".429",".333","","106","17.3","61.3","104.8","37.1"
"1941","NYY","1668","6137","151","830","774","51","10.0%","9.2%",".150",".278",".269",".346",".419",".357","","106","-6.2","41.3","102.8","37.1"
"1996","SEA","1736","6518","245","993","954","90","10.3%","16.1%",".197",".312",".287",".366",".484",".367","","112","-1.2","109.5","33.1","37.1"
"2011","NYY","2301","6306","222","867","836","147","9.9%","18.0%",".181",".292",".263",".343",".444",".345","","113","6.6","101.6","39.7","37.0"
"1977","NYY","1724","6261","184","831","784","93","8.5%","10.9%",".163",".291",".281",".344",".444",".347","","117","0.2","123.5","27.7","37.0"
"1944","STL","1755","6168","100","772","722","37","8.8%","7.6%",".126",".287",".275",".344",".402",".352","","108","3.9","63.6","99.3","36.9"
"1970","BAL","1986","6416","179","792","748","84","11.2%","14.8%",".144",".279",".257",".344",".401",".335","","107","3.5","56.2","102.8","36.9"
"2015","TOR","2337","6231","232","891","852","88","9.1%","18.5%",".188",".298",".269",".340",".457",".344","","117","11.0","135.9","6.6","36.7"
"1932","PHA","1613","6300","172","981","923","37","10.3%","10.0%",".167",".303",".290",".367",".457",".373","","111","-4.4","87.9","64.4","36.7"
"1904","NYG","1518","5828","31","744","564","283","7.4%","",".083","",".262",".328",".344",".326","","107","17.8","64.3","71.0","36.7"
"1958","NYY","1821","5971","164","759","717","48","9.0%","13.7%",".148",".288",".268",".336",".416",".334","","111","0.6","73.7","93.2","36.7"
"1937","NYY","1633","6294","174","979","922","60","11.3%","9.6%",".173",".293",".283",".369",".456",".378","","110","-7.7","86.0","63.6","36.6"
"1990","OAK","1891","6240","164","733","693","141","10.4%","15.9%",".137",".281",".254",".336",".391",".329","","109","4.3","70.6","85.0","36.4"
"1921","NYY","1604","6056","134","948","863","89","9.5%","9.4%",".164",".317",".300",".374",".464",".384","","111","7.9","103.8","61.9","36.4"
"1924","NYG","1792","6067","95","857","781","82","7.7%","7.9%",".131",".316",".300",".358",".432",".367","","114","8.9","113.0","56.0","36.3"
"2011","BOS","2269","6414","203","875","842","102","9.0%","17.3%",".181",".314",".280",".349",".461",".352","","117","-12.2","114.3","16.2","36.3"
"2013","BOS","2264","6382","178","853","819","123","9.1%","20.5%",".169",".329",".277",".349",".446",".347","","114","13.3","116.7","11.9","36.2"
"1922","NYG","1749","6109","80","852","756","116","7.3%","6.9%",".123",".319",".305",".363",".428",".366","","106","1.4","49.5","96.9","36.2"
