"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","ERA-","FIP-"
"1876","STL","45","19","0","65","64","577.0","1.61","0.61","0.05",".235","55.6%","","","","1.22","","2.15","","3.4","58","102"
"1884","PRO","84","28","2","122","114","1036.1","5.55","1.49","0.23",".259","63.4%","","","","1.61","","2.86","","13.3","56","85"
"1875","HAR","54","28","0","89","86","771.0","0.19","0.19","0.05",".245","52.9%","","","","1.62","","2.46","","9.6","63","95"
"1880","PRO","52","32","2","99","87","799.0","3.22","0.57","0.08",".250","58.9%","","","","1.64","","2.12","","8.2","72","92"
"1882","CIN","55","25","0","83","80","721.1","2.06","1.56","0.09",".244","64.3%","","","","1.65","","2.95","","6.0","61","105"
"1876","HAR","47","21","0","69","69","624.0","1.64","0.39","0.03",".257","56.5%","","","","1.67","","2.04","","8.9","69","85"
"1876","LOU","30","36","0","71","69","643.0","1.75","0.53","0.04",".263","46.8%","","","","1.69","","2.08","","10.4","67","82"
"1875","BSN","71","8","17","106","82","732.0","0.53","0.36","0.02",".270","56.2%","","","","1.70","","2.41","","7.4","69","97"
"1885","NYG","85","27","1","115","112","994.0","4.67","2.40","0.10",".246","64.8%","","","","1.72","","2.79","","11.8","62","93"
"1907","CHC","107","44","8","200","155","1373.1","3.84","2.63","0.07",".241","74.7%","","","","1.73","","2.31","","17.8","70","90"
"1909","CHC","104","49","11","212","155","1409.1","4.34","2.32","0.04",".248","74.5%","","","","1.74","","2.08","","22.4","68","83"
"1906","CHC","115","36","10","187","154","1388.1","4.55","2.89","0.08",".238","75.7%","","","","1.75","","2.43","","17.6","66","92"
"1876","CHI","52","14","4","75","66","592.1","0.77","0.44","0.09",".271","60.5%","","","","1.76","","2.34","","6.6","73","97"
"1910","PHA","102","48","5","200","155","1421.2","4.99","2.85","0.05",".254","73.1%","","","","1.79","","2.23","","16.4","73","94"
"1878","CIN","37","23","0","61","61","548.0","3.61","1.03","0.03",".291","54.1%","","","","1.84","","2.13","","5.2","84","97"
"1880","CLE","47","37","1","87","85","759.2","3.42","1.16","0.05",".269","57.4%","","","","1.90","","2.23","","7.0","83","97"
"1880","CHI","67","17","3","94","86","775.0","4.26","1.50","0.09",".252","58.7%","","","","1.93","","2.22","","9.7","79","91"
"1909","PHA","95","58","3","214","153","1378.0","4.75","2.52","0.06",".251","73.7%","","","","1.93","","2.08","","15.1","81","96"
"1884","STL","92","19","6","122","113","993.0","4.98","1.00","0.08",".269","55.5%","","","","1.95","","2.61","","8.5","66","102"
"1888","NYG","83","47","1","141","137","1208.0","5.41","2.29","0.20",".247","63.9%","","","","1.96","","2.51","","14.8","72","88"
"1905","CHW","92","60","0","190","158","1427.0","3.87","2.07","0.07",".252","71.2%","","","","1.99","","2.45","","14.0","79","98"
"1872","BSN","39","8","1","55","48","430.1","0.59","0.56","0.00",".270","49.2%","","","","1.99","","3.57","","4.3","53","94"
"1908","CLE","90","64","5","218","157","1424.1","3.46","2.07","0.10",".250","70.6%","","","","2.02","","2.17","","13.5","85","101"
"1882","LOU","42","37","0","86","79","693.1","3.12","1.45","0.09",".269","53.7%","","","","2.03","","2.69","","6.8","77","97"
"1910","CHW","68","85","7","222","156","1421.0","4.97","2.41","0.10",".257","69.0%","","","","2.03","","2.17","","18.1","84","90"
